material_design_section,system_design_aspect,property,constraint,relation,content
Foundations,Label,Label,soft,Accessibility Structure Add accessibility labels,"Add clear and specific labels to any landmark roles that appear multiple times (regions or navigation typically). This will help users differentiate information. 

Labels should be added to all regions, as well as any landmark where a label will enhance meaning. For example, explaining the contents or purpose of a sidebar. 

Don't repeat the landmark role within a label."
Foundations,Structure,Group,soft,Accessibility Structure Define headings,"Assistive technology users often navigate web pages with the help of headings. They create a clear hierarchy to help users navigate and take action.

Identify headings based on content hierarchy, rather than visual styling
Headings should not skip a level, for example, don't go from H2 to H4 without using an H3 
Map content on your pages to headings (H1–H6) in sequential order based on the hierarchy of your content
A single H1 for the page title is recommended"
Foundations,Flow,Clickable,soft,Accessibility Define initial focus and component-level focus,"Focus refers to which control is currently the active target of user interactions, such as mouse clicks or keyboard taps. Generally, the tab key moves focus between interactive elements. 

Define the initial focus when a user loads a screen, as well as initial focus for components with multiple interactive elements, like a complex card or a dialog.
Focus is particularly important when an element is activated by the user or the user changes context. 

For example, when a dialog is triggered, check for the following:

Focus is set to the dialog component, likely to a specific interactive element within the dialog such as a text input field or edit button
When the user closes or cancels the dialog, focus returns to the interactive element that initiated the action"
Foundations,Flow,Clickable,soft,Accessibility Define any atypical key traversal through the page and components,"Tab typically moves focus between interactive elements and is often used as primary navigation. Tab + Shift reverses direction.
Arrow keys are typically used to navigate within components (for example, moving between cells in a form or traversing items in a menu.)
Enter activates a link or button, or sends a form when a form item has focus."
Foundations,Label,Label,soft,Accessibility Label elements,"Accessibility labels assist users who cannot rely on a product's visual interface. Thoughtful labels help make the text-based experience as usable as the visual experience. Labels should concisely describe an element's content, purpose and behavior. "
Foundations,Label,Label,hard,Accessibility Add labels for meaningful images and interactive elements,"Do,Labels should be concise, descriptive, and convey the content and context of the image. Labels should be concise, descriptive, and convey the content and context of the image."
Foundations,Label,Label,hard,Accessibility Add labels for meaningful images and interactive elements,"Don’t, Do not use an element role (button, menu, etc.) in your label. This identifier is automatically added when the element is assigned its proper role, typically by a developer."
Foundations,Label,Label,hard,Accessibility Assign a role to interactive elements,"Don't,Don't include the control type in the label. Screen readers automatically add the control, so you’d be having it repeat (for example,ex. “Got it button button”)"
Foundations,Label,Label,soft,Accessibility Assign a role to interactive elements,"ARIA roles apply to web apps and specify how to increase the accessibility of web pages on top of HTML. 

For web, assign ARIA roles for all interactive elements 
For non-web, assign roles based on your design system components (button, slider, menu, etc.)
Assign ARIA roles (web) or component type (mobile) to communicate desired interaction patterns into engineering action. Note that some visual elements may look the same, but are intended to behave differently. 

Defining an interactive element's category by assigning it a role helps users of assistive technology establish expectations for how to interact with that element and anticipate what is likely to happen upon interaction."
Foundations,Text,Text,hard,Content alt text,"Do, Write alternative text for images to provide context to screen reader users."
Foundations,Text,Text,hard,Content alt text,"Don't,Avoid leaving the automatically generated file number as alt text."
Foundations,Text,Text,hard,Content Focus on the meaning of the image,"Do,Describe the context and overall meaning, rather than focusing on the details. For example, in a shopping app, focus on the item for sale rather than the things around it.
Alt text can also help improve SEO, but its primary purpose should be to make sites usable for all.
Focus on the important part of the image."
Foundations,Text,Text,hard,Content Focus on the meaning of the image,"Don't,Avoid detailed descriptions that don’t contribute to the image’s meaning."
Foundations,Text,Text,hard,Content Keep it short,"Do,Write brief alt text."
Foundations,Text,Text,hard,Content Keep it short,"Don't,Don’t write more than 125 characters of alt text. "
Foundations,Text,Text,hard,Content Don’t start alt text with image of,"Do,Describe the image, rather than the format."
Foundations,Text,Text,hard,Content Don’t start alt text with image of,"Don't,Avoid writing “image of. The screen reader will announce it’s an image."
Foundations,Text,Text,hard,Content Context matters,"Do,Alt text should always relate to the context."
Foundations,Text,Text,hard,Content Context matters,"Do,Change alt text for an image depending on where it’s used."
Foundations,Text,Text,hard,Content Alt text is subjective,"Do,Make alt text consistent with the caption."
Foundations,Text,Text,hard,Content Alt text is subjective,"Don’t,Don’t ignore the caption. Information in alt text should correspond to adjacent text."
Foundations,Text,Text,hard,Content Alt text is subjective,"Do,Focus on the meaning of the image."
Foundations,Text,Text,hard,Content Alt text is subjective,"Do,Use alt text to reinforce ideas in the caption."
Foundations,Text,Text,hard,Content Alt text is subjective,"Don’t,Don’t write alt with details that aren’t relevant to the context of the image."
Foundations,Text,Text,hard,Content Captions should benefit all users,"Do,Capture the meaning of the image in a few words."
Foundations,Text,Text,hard,Content Captions should benefit all users,"Don’t,Don’t repeat the caption as the alt text"
Foundations,Text,Text,hard,Content Types of imagery,"Caution, Be careful when using alt text that describes the type of image.
Occasionally it benefits users to name the type of image. This can include:
Chart
Infographic
Map
Graph
Screenshot
Headshot
Diagram"
Foundations,Text,Text,hard,Content Charts and graphs,"Do,Capture the meaning of the chart."
Foundations,Text,Text,hard,Content Charts and graphs,"Don’t,Avoid copying data points."
Foundations,Text,Text,soft,Content Charts and graphs,"For a chart with a lot of data points, write alt text for the most important ones. For example, on a stock price graph users would want to know the prices for open, close, high and low.  

Ensure that the concepts shown in the chart or graph are explained fully in the body copy. 

A general formula would be: [chart type] of [data type] where [reason for showing the chart]."
Foundations,Text,Text,hard,Content Word choice Use global examples & explain local references,"Do,Use generalized, global examples. Most countries and cultures have holidays."
Foundations,Text,Text,hard,Content Word choice Use global examples & explain local references,"Don’t,Don’t call out a specific country or culture’s holiday"
Foundations,Text,Text,hard,Content Word choice Use global examples & explain local references,"Caution,
Help translators understand the context by adding message descriptions
If it doesn’t make sense to use a global example, explain the reference in the message description so the translator can substitute a locale-specific example. Some instances where local references should be called out include:

Locations
Names (common first names and nicknames)
Currencies
Temperatures
Date formats
Providers (internet and cable)"
Foundations,Text,Text,hard,Content Word choice Avoid abbreviations,"Do,Use clear names to refer to things"
Foundations,Text,Text,hard,Content Word choice Avoid abbreviations,"Don’t,Avoid abbreviations"
Foundations,Text,Text,hard,Content Word choice Clarify pronouns,"Do,Using nouns instead of, or in addition to, pronouns can help clarify future and past user actions"
Foundations,Text,Text,hard,Content Word choice Clarify pronouns,"Don’t,Avoid using pronouns when it’s unclear what nouns they’re referring to, especially when explaining user actions"
Foundations,Text,Text,hard,Content Word choice Clarify “this” and “that”,"Do,Make sure it’s clear who text is referring to"
Foundations,Text,Text,hard,Content Word choice Clarify “this” and “that”,"Don’t,Avoid using “this” and “that”"
Foundations,Text,Text,hard,Content Word choice Avoid idiomatic colloquial and polite expressions,"Do,Clear, everyday language can be used in an expressive and whimsical way when paired with imagery"
Foundations,Text,Text,hard,Content Word choice Avoid idiomatic colloquial and polite expressions,"Don’t,Idiomatic phrases can be difficult for everyone to understand and for translators to localize"
Foundations,Text,Text,hard,Content Word choice Reduce technical jargon,"Do,Plain language is easier for everyone to understand"
Foundations,Text,Text,hard,Content Word choice Reduce technical jargon,"Don’t,Confusing language makes it difficult for people to understand the actions they’re taking"
Foundations,Text,Text,soft,Content Word choice Clarify ambiguities,"Some words have multiple meanings. For example, “traffic,” “filter,” and “change” can all be used as either nouns or verbs. Avoid using both meanings of the word in the same string or body of text. If a word has the potential to be confusing, be sure to provide as much context as possible in the message description so the translation will be accurate."
Foundations,Text,Text,hard,Content Style guide Explain consequences,"Do,Tell users what will happen if they take an action and how they can undo it"
Foundations,Text,Text,hard,Content Style guide Explain consequences,"Don’t,Don’t misrepresent consequences or try to influence a user’s decision"
Foundations,Text,Text,soft,Content Style guide Use scannable words and formats,"People scan UI text in search of the most meaningful content to them. Help by using specific titles and headings that clearly describe a topic. When users are skimming or hurrying through an action, this organization helps them avoid mistakes and unintentional actions. People scan UI text in search of the most meaningful content to them. Help by using specific titles and headings that clearly describe a topic. When users are skimming or hurrying through an action, this organization helps them avoid mistakes and unintentional actions."
Foundations,Text,Text,hard,Content Style guide Use sentence case,"Do,Capitalize the first word of a sentence or phrase"
Foundations,Text,Text,hard,Content Style guide Use sentence case,"Don’t,Capitalize the first word of a sentence or phrase"
Foundations,Text,Text,hard,Content Style guide Use abbreviations sparingly,"Do,When an abbreviation is appropriate, make sure it’s formatted and spelled correctly to avoid confusion"
Foundations,Text,Text,hard,Content Style guide Use abbreviations sparingly,"Don’t,Avoid using abbreviations when there’s space to spell out a word"
Foundations,Text,Text,hard,Content Style guide Use second person pronouns (“you”),"Do,Write from the user’s point of view to help them take action"
Foundations,Text,Text,hard,Content Style guide Use second person pronouns (“you”),"Don’t,Avoid writing that sounds impersonal and robotic"
Foundations,Text,Text,hard,Content Style guide Don’t combine first and second person,"Do,Write from a user’s point of view by emphasizing their perspective with “you” and “your”"
Foundations,Text,Text,hard,Content Style guide Don’t combine first and second person,"Don’t,Don’t mix different forms of address in the same screen. Instead, use “you” and “your” or get rid of the pronoun."
Foundations,Text,Text,hard,Content Style guide Use caution with “I” and “we”,"Don’t,Don’t use first person pronouns to speak for the voice of Google"
Foundations,Text,Text,hard,Content Style guide Use caution with “I” and “we”,"Don’t,Avoid using first person pronouns. Write from the user’s point of view by using second person pronouns or removing pronouns altogether."
Foundations,Text,Text,hard,Content Style guide Use caution with “I” and “we”,"Do,First person pronouns can help users understand when they’re making impactful decisions"
Foundations,Text,Text,hard,Content Style guide Use caution with “I” and “we”,"Caution,Use caution with “we” or “our.” Even when these pronouns represent real people employed by Google, seeing first person pronouns in UI text can be confusing or jarring."
Foundations,Text,Text,hard,Content Style guide Skip periods and unnecessary punctuation,"Do,Omit punctuation on single-line sentences"
Foundations,Text,Text,hard,Content Style guide Skip periods and unnecessary punctuation,"Don’t,Avoid using periods to end single sentences"
Foundations,Text,Text,soft,Content Style guide Skip periods and unnecessary punctuation,"To help readers scan text, avoid using periods and other unnecessary punctuation. 
Avoid using periods to end single sentences, particularly in:

Labels
Tooltip text
Bulleted lists
Dialog body text
Hyperlinked text
Use periods on:

Multiple sentences
Long or complex sentences, if it suits the context
Any sentence followed by a link"
Foundations,Text,Text,hard,Content Style guide Use contractions,"Do,Avoid spelling out words that can be contractions"
Foundations,Text,Text,hard,Content Style guide Use contractions,"Don’t,Phrases that aren’t contracted can feel stiff or overly formal"
Foundations,Text,Text,hard,Content Style guide Use serial commas,"Do,Use a serial comma in lists of three or more items"
Foundations,Text,Text,hard,Content Style guide Use serial commas,"Don’t,Don’t skip serial commas before “and”"
Foundations,Text,Text,hard,Content Style guide Use exclamation points sparingly,"Do,Exclamation marks can be used to emphasize celebratory moments"
Foundations,Text,Text,hard,Content Style guide Use exclamation points sparingly,"Don’t,Avoid using exclamation marks for empty states and common tasks. Save it for bigger accomplishments."
Foundations,Text,Text,hard,Content Style guide Use ellipses sparingly,"Do,Ellipses show an action in progress"
Foundations,Text,Text,hard,Content Style guide Use ellipses sparingly,"Don’t,Don’t use ellipses in buttons or menu items"
Foundations,Text,Text,hard,Content Style guide Use parentheses to define terms,"Do,Use parentheses to define terms and jargon"
Foundations,Text,Text,hard,Content Style guide Use parentheses to define terms,"Don’t,Don’t use parentheses to add extra thoughts. If information is needed, include it in the sentence without parentheses for easier scanning and improved comprehension."
Foundations,Text,Text,hard,Content Style guide Skip ampersands in body text,"Do,Ampersands can be used in headlines"
Foundations,Text,Text,hard,Content Style guide Skip ampersands in body text,"Don’t,Avoid ampersands in email subject lines"
Foundations,Text,Text,soft,Content Style guide Use dashes with caution,"Dashes and hyphens can interrupt a sentence and lead to a fragmented experience, so they should be used with caution. There are three kinds of dashes:

Em dash: —
En dash: –
Hyphen: -

Em dashes are best avoided in UX writing, as they indicate a break in the flow of a sentence that could be simplified using a comma, period, or new sentence. 

Use an en dash without spaces to indicate a range, such as 9 AM–Noon."
Foundations,Text,Text,soft,Content Style guide Use hyphens with care,"Hyphens can help readers better understand how words relate to each other by binding closely related words. They can also be used to represent negative numbers, such as -100. Spaces should never be used surrounding hyphens.

Refer to the Associated Press (AP) style guidelines if you are unsure whether an adjective or noun phrase needs a hyphen.

Rule	Examples	Why
Hyphenate adjective phrases
Case-by-case basis
Best-in-class performance
Once-in-a-lifetime opportunity	When multiple words are used together as an adjective, they should be hyphenated. However, common, easily understood adjective phrases don't need to be, such as 'cell phone' or 'chocolate chip cookie'.
Cell phone
Chocolate chip cookie	Except in the case of proper nouns and easily understood adjective phrases, which don't need to be
Hyphenate noun phrases	

A noun phrase is two or more words acting as a noun. These phrases are hyphenated in certain cases:
Sign-off
Drive-through
Go-ahead	Hyphenate a noun phrase if it contains a verb followed by an adverb
Higher-up
Most-read	Hyphenate an adjective phrase that is functioning as a noun
Jack-of-all-trades
Stick-in-the-mud	Some noun phrases, especially long or complicated ones, are always hyphenated"
Foundations,Layout,Group,soft,Layout Grouping,"Grouping is a method for connecting related elements that share a context, such as an image grouped with a caption. It visually relates elements and establishes boundaries to differentiate unrelated elements. By placing a caption under an image this composition shows an explicit group.
Explicit grouping uses visual boundaries such as outlines, dividers, and shadows to group related elements in an enclosed area. Explicit grouping can also indicate that an item is interactive, such as list items contained between dividers, or a card displaying an image and its caption.
Implicit grouping uses close proximity and open space (rather than lines and shadows) to group related items. For example, a headline closely followed by a subhead and thumbnail image are implicitly grouped together by proximity and separated from other headline-subhead-thumbnail groups by open space."
Foundations,Layout,Spacing,soft,Layout Margins,"Margins are the spaces between the edge of a window area and the elements within that window area.

Margin widths are defined using fixed or scaling values for each window size class. To better adapt to the window, the margin width can change at different breakpoints. Wider margins are more appropriate for larger screens, as they create more open space around the perimeter of content.

See margin measurements for each window class: compact, medium, expanded, large, and extra-large.

Screen highlighting vertical blue margin on left side of screen"
Foundations,Layout,Spacing,soft,Layout Spacers,"A spacer refers to the space between two panes in a layout. Spacers measure 24dp wide."
Foundations,Layout,Spacing,soft,Layout Padding,"Padding refers to the space between UI elements. Padding can be measured vertically and horizontally and does not need to span the entire height or width of a layout. Padding is measured in increments of 4dp."
Foundations,Layout,Spacing,hard,Layout Information density,"Do,Consider using higher density information design when users need to scan lots of information on screen"
Foundations,Layout,Spacing,hard,Layout Information density,"Caution,Avoid reducing selectable targets to less than 48x48dp"
Foundations,Layout,Spacing,hard,Layout Information density,"Don't,Don’t increase density in UIs that involve focused tasks, such as interacting with a dropdown menu or picker as it reduces usability by limiting selectable space."
Foundations,Layout,Spacing,hard,Layout Information density,"Don't,Don't increase the density in components that alert the user of changes, such as snackbars or dialogs."
Foundations,Layout,Spacing,soft,Layout Density scale,"The density scale allows you to control the internal spacing of individual components when needed.

The density scale is numbered, starting at 0 for a component’s default density. The scale moves to negative numbers (-1, -2, -3) as space decreases, creating higher density. Each increment represents a decrease in the height of a component by 4dp.

Three buttons, with densities  of +1, ), and -1
Buttons are offered in multiple densities to best fit a needs of a design

When multiple elements are stacked vertically within a component, use 4dp increments to separate them. Center the grouped element within the component container.

Stacked element showing 20 dp between label and input
The measurement between the label and input is 20dp

Parent container showing label above input
The label and input are centered within their parent container

Don’t apply density to interaction targets. They should remain a minimum of 48x48dp, even if their visual element (such as an icon) is smaller.

Settings button is 24 by 24 dp, but has interaction target of 48 x 48 dp.
The interaction target for an icon button can be larger than its icon, as long as it meets the 48x48dp minimum size.

Button with height of 36 dp and interaction target of 48 dp"
Foundations,Layout,Group,soft,Layout Navigation region,"The navigation region holds primary navigation components and elements such as:

Navigation drawer
Navigation rail
Navigation bar
Elements in this section help people navigate between destinations in an app or to access important actions.

Navigation drawer, navigation rail, and navigation bar each shown on a separate screen."
Foundations,Layout,Group,soft,Layout Body region,"The body region contains most of the content in an app, including:

Images
Text
Lists
Cards
Buttons
App bar
Search bar
Content in the body region is grouped into one or more panes."
Foundations,Layout,Group,soft,Layout Panes,"A pane refers to the grouping of content within the body region. All app content is inside one or more panes.

The arrangement and relative size of the layout regions and panes will vary depending on the device’s window size class:

Compact: 1 pane
Medium: 1 (recommended) or 2 panes
Expanded: 1 or 2 panes (recommended)
Large: 1 or 2 panes (recommended)
Extra-large: 1 to 2 panes (recommended) with standard side sheet serving as a potential additional 3rd pane.
Two paned screen layout.
First pane
Second pane

Pane types

Fixed: fixed width (360 dp)
Flexible: responsive to available space, can grow and shrink
Fixed and flexible panes of a screen.
Fixed pane
Flexible pane

A pane is different from a window, which refers to the frame containing an app. Multi-window views are a system UI feature used to display more than one app simultaneously.

Multi-window support guide for Android

Side-by-side windows with single taskbar below.
Two windows shown next to one another with a taskbar underneath. 

Layouts
Single-pane layouts use one flexible pane.

A mobile screen with a single pane inside a window.
A singular pane extending from one edge to another inside a window. 

Two-pane layouts typically use one fixed and one flexible pane, which can appear in whatever order is best for the content.

Fixed and flexible panes arranged 2 different ways.
Fixed pane
Flexible pane

An alternative two-pane layout, called split-pane, uses two flexible panes equal to 50% of the screen width. This layout best supports foldable devices.

Two flexible panes layout.
First pane
Second pane

Number of panes	Pane type
1	Flexible
2	1 fixed, 1 flexible
2 (split-pane)	2 flexible"
Foundations,Layout,Group,soft,Layout App bars,"Panes can include a top app bar and bottom app bar.

Screen layout with app bar inside left pane.
An example of an app bar inside a pane.

Any nesting actions within the top app bar should be hidden or revealed based on available width.

Top app bar of a compact window on a mobile device shows 2 items.
A compact window with two actions revealed.

Top app bar of  expanded window  shows 5 items.
A expanded window class with five items revealed.

When layouts transition from one to two panes, avoid shifting elements between panes.
Columns
Content in a pane can be displayed in multiple columns to segment and align content. 

Columns are exclusive to a pane and are not used at the window level.

A single pane containing 3 columns."
Foundations,Layout,Group,hard,Layout App bars,"Don’t,Don’t move elements to different UI objects when switching between window classes."
Foundations,Layout,Platform,soft,Layout Display cutout,"A display cutout is an area on some devices that extends into the display surface. It allows for an edge-to-edge experience while providing space for important sensors on the screen of the device. 

Applications can extend around display cutouts or other features, but some parts of the UI might be obscured.

Content safe area shown in portrait and in landscape mode."
Foundations,Layout,Platform,soft,Layout Foldable devices,"Fold
The fold of a foldable device divides the screen into two portions, either horizontally or vertically. The fold can be a flexible area of the screen or, on dual-screen devices, a hinge that separates two displays.

A flexible fold is barely visible, although some users may feel a tactile difference on the screen surface. Content can flow over the fold fairly easily.

Center fold of a foldable device layout.
Folds are typically found in the center of the device screen and can present a seamless experience.

On devices with a physical hinge, designing the screen as two distinct sections (separate window areas or panes) allows a composition to work well across the hinge and screens.

Center fold on a foldable device with a physical hinge.
A physical hinge separates two parts. There is no display hardware in this region.

Device state
Foldable devices can have several physical states: folded, open flat, and tabletop.

Folded
The folded state can include a front screen, which often fits in the compact window size class, just like a mobile phone in portrait orientation.

Compact window of a folded device.
The front screen of a foldable device

Open flat
An open flat state refers to the fully opened screen, which usually increases the window size class to medium or expanded. An open device can be used in landscape or portrait orientations.

Open portrait state of a mobile device.
In an open portrait state, the longer device edge is vertical while the shorter edge is horizontal.

Open landscape state of a mobile device.
In an open landscape state, the longer device edge is horizontal while the vertical edge is shorter.

Tabletop
Tabletop refers to a half-opened state forming a rough 90 degree angle, with one half of the device resting on a surface. This posture resembles a laptop.

UI controls near the fold can be difficult for users to access, and text overlaying the fold can be hard to read.

Tabletop state of a mobile device showing camera ;ems  on the vertical plane.
If camera hardware is present, a tabletop device is best positioned on a side without any protruding hardware elements."
Foundations,Layout,Platform,soft,Layout App continuity,"When running on a foldable device, an app can transition from one screen to another automatically. After the transition, the app should resume in the same state and location, and the current task should continue seamlessly.

A news app in compact mode compared to the open landscape state where the news app expands with a new column next to the compact news feed.
A news app shows a feed in a compact and expanded window class when a foldable device switches device state."
Foundations,Layout,Platform,soft,Layout Scrolling and multiple panes,"Depending on how your app uses panes, the scroll behavior of a folded design may change in the unfolded design. 

If you expand a pane, you can decide whether the whole window will scroll together or if each side (each pane) scrolls independently. 

A foldable device screen in open landscape mode with a single pane showing vertical scroll arrows.
A single pane can scroll its inside content vertically and horizontally.

If your design has multiple panes, each pane can operate as an independently scrollable area.

A foldable device screen in open portrait mode with double panes each with a vertical scroll arrow.
Multiple panes can scroll inside content independently of one another."
Foundations,Layout,Platform,soft,Layout Multi-window mode,"Multi-window mode is an Android system feature for displaying multiple apps on the same screen. This can be especially useful for multi-tasking, or workflows that depend on comparing information.

Note: This concept should not be confused with using multiple panes to display content from a single app. For more on that, see: Panes.

2 apps appear side-by-side with a task bar below spanning the width of the screen.
Screen displaying an email app and a contacts app in multi-window mode"
Foundations,Layout,Platform,soft,Layout User needs,"The ways that windows are created, arranged, and adjusted should feel straightforward for all users and across any window size class. Methods for seamless window management include:
Apply smooth transitions as described in motion guidance
Ensure that users can create multiple windows easily and move between them as needed
Keep mental models and interaction patterns simple so that users aren’t required to think about which mode is appropriate for each task
Design and implement window dynamics consistently across variations in foldable hardware, including those with a hinge that separates two displays"
Foundations,Layout,Platform,soft,Layout Window creation and behavior,"Android provides several ways for users to create a multi-window view."
Foundations,Layout,Platform,soft,Layout Taskbar,"The taskbar provides a launching point for pinned and suggested apps to easily become a separate window. 
To create a new window, a user selects and drags an app from the taskbar and moves the app icon to indicate where the new window should be displayed.
The taskbar is positioned at the bottom of a screen.
Android taskbar"
Foundations,Layout,Platform,soft,Layout Context menu,"Users can also create multiple windows through the overview by the app context menu.

2 apps appear side-by-side with a task bar below spanning the width of the screen.
Multi-window mode can have vertical positioning

2 apps are stacked in landscape mode with a task bar below spanning the width of the screen.
Multi-window mode can have horizontal positioning"
